,element_type,now_cost,total_points,id
657,1,39,8,657
658,3,45,0,658
659,3,45,2,659
660,1,40,0,660
661,2,40,0,661
662,1,40,6,662
663,1,45,0,663
664,3,45,0,664
665,3,45,0,665
666,4,45,0,666
667,3,45,3,667
668,1,40,0,668
669,2,40,8,669
670,2,40,0,670
671,3,45,4,671
672,3,45,0,672
673,3,45,0,673
674,3,45,8,674
675,3,45,0,675
676,3,45,0,676
677,1,40,0,677
678,3,45,1,678
679,4,45,0,679
680,3,45,1,680
681,1,40,0,681
682,1,40,0,682
683,1,40,0,683
684,2,38,14,684
685,2,38,13,685
686,2,38,17,686
687,2,38,14,687
688,2,38,18,688
689,2,38,14,689
690,2,38,10,690
691,2,38,14,691
692,2,38,14,692
693,2,38,14,693
694,2,38,14,694
695,2,38,14,695
696,2,38,12,696
697,2,38,13,697
698,2,38,14,698
699,2,38,11,699
700,2,38,14,700
701,2,38,13,701
702,2,38,14,702
703,2,38,11,703
704,2,38,11,704
705,2,38,14,705
706,2,38,14,706
707,2,38,12,707
708,2,38,14,708
709,2,38,11,709
710,2,38,11,710
711,2,38,14,711
712,2,38,14,712
713,2,38,15,713
714,2,38,14,714
715,2,38,14,715
716,2,38,17,716
717,2,38,14,717
718,2,38,11,718
719,2,38,14,719
720,2,38,14,720
721,2,38,10,721
722,2,38,14,722
723,2,38,15,723
724,2,38,16,724
725,2,38,14,725
726,2,38,14,726
727,2,38,12,727
728,2,38,14,728
729,2,38,14,729
730,2,38,14,730
731,2,38,14,731
732,2,38,12,732
733,2,38,18,733
734,2,38,17,734
735,2,38,14,735
736,2,38,14,736
737,2,38,15,737
738,2,38,14,738
739,2,38,14,739
740,2,38,14,740
741,2,38,12,741
742,2,38,17,742
743,2,38,14,743
744,2,38,17,744
745,2,38,17,745
746,2,38,14,746
747,2,38,16,747
748,2,38,18,748
749,2,38,14,749
750,2,38,14,750
751,2,38,14,751
752,2,38,16,752
753,2,38,14,753
754,2,38,14,754
755,2,38,17,755
756,2,38,10,756
757,2,38,14,757
758,2,38,14,758
759,2,38,16,759
760,2,38,16,760
761,2,38,14,761
762,2,38,14,762
763,2,38,14,763
764,2,38,17,764
765,2,38,13,765
766,2,38,15,766
767,2,38,10,767
768,2,38,11,768
769,2,38,16,769
770,2,38,18,770
771,2,38,10,771
772,2,38,15,772
773,2,39,22,773
774,2,39,17,774
775,1,39,17,775
776,2,39,25,776
777,1,39,17,777
778,2,39,17,778
779,2,39,16,779
780,1,39,17,780
781,2,39,17,781
782,2,39,15,782
783,2,39,17,783
784,2,39,19,784
785,2,39,17,785
786,2,39,16,786
787,2,39,18,787
788,2,39,17,788
789,2,39,12,789
790,2,39,28,790
791,1,39,17,791
792,2,39,21,792
793,2,39,17,793
794,2,39,17,794
795,1,39,17,795
796,1,39,15,796
797,2,39,28,797
798,2,39,17,798
799,2,39,17,799
800,2,39,17,800
801,2,39,17,801
802,1,39,19,802
803,1,39,17,803
804,2,39,17,804
805,2,39,15,805
806,2,39,17,806
807,2,39,17,807
808,2,39,17,808
809,2,39,17,809
810,1,39,18,810
811,2,39,17,811
812,2,39,17,812
813,2,39,17,813
814,2,39,17,814
815,1,39,18,815
816,1,39,17,816
817,1,39,16,817
818,2,39,13,818
819,2,39,18,819
820,2,39,17,820
821,2,39,17,821
822,2,39,14,822
823,2,39,17,823
824,1,39,17,824
825,2,39,23,825
826,2,39,17,826
827,2,39,17,827
828,1,39,17,828
829,2,39,17,829
830,2,39,17,830
831,2,39,17,831
832,1,39,17,832
833,2,39,17,833
834,2,39,13,834
835,2,39,17,835
836,1,39,17,836
837,2,39,17,837
838,2,39,17,838
839,2,39,22,839
840,1,39,19,840
841,2,39,17,841
842,1,39,17,842
843,1,39,18,843
844,2,39,17,844
845,2,39,7,845
846,1,39,18,846
847,1,39,17,847
848,2,39,17,848
849,2,39,17,849
850,2,39,17,850
851,2,40,19,851
852,2,40,19,852
853,2,40,19,853
854,2,40,19,854
855,2,40,19,855
856,2,40,19,856
857,1,40,19,857
858,2,40,19,858
859,2,40,19,859
860,1,40,19,860
861,1,40,19,861
862,2,40,19,862
863,2,40,19,863
864,2,40,19,864
865,2,40,19,865
866,2,40,19,866
867,1,40,19,867
868,2,40,19,868
869,1,40,19,869
870,1,40,19,870
871,2,40,19,871
872,2,40,19,872
873,1,40,19,873
874,1,40,19,874
875,2,40,19,875
876,2,40,19,876
877,2,40,19,877
878,2,40,19,878
879,2,40,19,879
880,2,40,18,880
881,2,40,18,881
882,1,40,19,882
883,1,40,19,883
884,1,40,19,884
885,3,41,24,885
886,3,41,23,886
887,2,41,27,887
888,2,41,24,888
889,2,41,23,889
890,1,41,22,890
891,2,41,21,891
892,2,41,22,892
893,1,41,22,893
894,1,41,22,894
895,2,41,23,895
896,3,41,18,896
897,2,41,21,897
898,3,41,22,898
899,3,41,29,899
900,2,41,24,900
901,3,41,23,901
902,2,41,17,902
903,3,41,16,903
904,2,41,23,904
905,1,41,22,905
906,3,41,27,906
907,2,41,26,907
908,2,41,21,908
909,2,41,20,909
910,2,41,19,910
911,2,41,24,911
912,1,41,22,912
913,2,41,21,913
914,3,41,23,914
915,2,41,21,915
916,2,41,24,916
917,3,41,15,917
918,3,41,21,918
919,2,41,21,919
920,3,41,20,920
921,1,41,22,921
922,2,41,24,922
923,3,41,29,923
924,3,41,21,924
925,3,41,24,925
926,1,41,22,926
927,3,41,15,927
928,3,41,24,928
929,2,41,22,929
930,2,41,24,930
931,1,41,22,931
932,2,41,22,932
933,3,41,23,933
934,3,41,22,934
935,2,41,23,935
936,3,41,28,936
937,1,41,22,937
938,2,41,28,938
939,2,41,12,939
940,3,41,19,940
941,1,41,27,941
942,3,41,23,942
943,2,41,21,943
944,1,41,22,944
945,3,41,23,945
946,2,41,32,946
947,3,41,32,947
948,3,41,19,948
949,2,41,22,949
950,3,41,15,950
951,2,41,21,951
952,2,41,18,952
953,2,41,26,953
954,2,41,19,954
955,2,41,29,955
956,1,41,35,956
957,3,41,21,957
958,3,42,24,958
959,1,42,31,959
960,2,42,21,960
961,2,42,35,961
962,3,42,23,962
963,2,42,24,963
964,1,42,21,964
965,2,42,25,965
966,3,42,24,966
967,2,42,25,967
968,2,42,25,968
969,2,42,24,969
970,2,42,33,970
971,2,42,23,971
972,2,42,13,972
973,3,42,24,973
974,2,42,38,974
975,3,42,23,975
976,3,42,23,976
977,3,42,29,977
978,1,42,27,978
979,1,42,7,979
980,3,42,28,980
981,2,42,18,981
982,3,42,24,982
983,3,42,25,983
984,3,42,25,984
985,2,42,20,985
986,2,42,14,986
987,3,42,28,987
988,3,42,24,988
989,2,42,25,989
990,2,42,13,990
991,2,42,12,991
992,3,42,24,992
993,2,42,24,993
994,3,42,27,994
995,3,42,26,995
996,3,42,23,996
997,3,42,19,997
998,2,42,23,998
999,2,42,24,999
1000,3,42,24,1000
1001,2,42,34,1001
1002,3,42,32,1002
1003,3,42,25,1003
1004,3,42,22,1004
1005,2,42,25,1005
1006,3,43,13,1006
1007,1,43,44,1007
1008,2,43,27,1008
1009,4,43,34,1009
1010,3,43,28,1010
1011,3,43,33,1011
1012,3,43,29,1012
1013,3,43,27,1013
1014,3,43,28,1014
1015,2,43,30,1015
1016,3,43,30,1016
1017,3,43,26,1017
1018,3,43,13,1018
1019,3,43,28,1019
1020,1,43,27,1020
1021,3,43,27,1021
1022,1,43,33,1022
1023,3,43,25,1023
1024,2,43,39,1024
1025,3,43,37,1025
1026,3,43,25,1026
1027,3,43,27,1027
1028,4,43,20,1028
1029,2,43,27,1029
1030,2,43,25,1030
1031,4,43,32,1031
1032,2,43,32,1032
1033,3,43,29,1033
1034,3,43,27,1034
1035,1,43,27,1035
1036,4,43,26,1036
1037,1,43,27,1037
1038,1,43,27,1038
1039,1,43,27,1039
1040,4,43,26,1040
1041,2,43,29,1041
1042,3,43,27,1042
1043,3,43,15,1043
1044,2,43,35,1044
1045,3,43,41,1045
1046,3,43,26,1046
1047,2,43,25,1047
1048,3,43,27,1048
1049,2,44,18,1049
1050,2,44,29,1050
1051,4,44,29,1051
1052,2,44,29,1052
1053,3,44,33,1053
1054,2,44,31,1054
1055,3,44,29,1055
1056,2,44,22,1056
1057,4,44,20,1057
1058,2,44,29,1058
1059,3,44,29,1059
1060,3,44,30,1060
1061,3,44,20,1061
1062,2,44,29,1062
1063,2,44,29,1063
1064,3,44,38,1064
1065,2,44,29,1065
1066,2,44,29,1066
1067,3,44,38,1067
1068,3,44,29,1068
1069,2,44,39,1069
1070,3,44,38,1070
1071,2,44,29,1071
1072,3,44,29,1072
1073,2,44,40,1073
1074,3,44,23,1074
1075,1,44,29,1075
1076,1,44,29,1076
1077,2,44,29,1077
1078,2,44,36,1078
1079,3,44,29,1079
1080,2,44,31,1080
1081,3,44,35,1081
1082,3,44,12,1082
1083,3,44,29,1083
1084,3,44,27,1084
1085,3,44,29,1085
1086,2,44,24,1086
1087,3,44,21,1087
1088,2,44,29,1088
1089,3,46,26,1089
1090,2,46,27,1090
1091,2,46,52,1091
1092,3,46,32,1092
1093,1,46,34,1093
1094,3,46,34,1094
1095,4,46,40,1095
1096,4,46,27,1096
1097,3,46,35,1097
1098,4,46,30,1098
1099,3,46,44,1099
1100,4,46,34,1100
1101,2,46,18,1101
1102,2,46,30,1102
1103,1,46,34,1103
1104,3,46,41,1104
1105,3,46,40,1105
1106,3,46,33,1106
1107,2,46,39,1107
1108,3,46,30,1108
1109,2,46,18,1109
1110,2,46,51,1110
1111,4,46,34,1111
1112,4,46,27,1112
1113,2,46,28,1113
1114,3,46,22,1114
1115,2,46,21,1115
1116,3,46,36,1116
1117,3,46,28,1117
1118,3,46,22,1118
1119,4,46,34,1119
1120,3,46,38,1120
1121,3,46,45,1121
1122,2,46,31,1122
1123,3,46,39,1123
1124,3,46,46,1124
1125,2,46,34,1125
1126,3,46,18,1126
1127,2,46,20,1127
1128,3,46,35,1128
1129,2,46,30,1129
1130,1,46,39,1130
1131,1,46,34,1131
1132,3,46,39,1132
1133,1,46,34,1133
1134,3,46,42,1134
1135,4,46,45,1135
1136,2,46,32,1136
1137,2,46,45,1137
1138,2,46,47,1138
1139,2,46,16,1139
1140,2,46,39,1140
1141,3,46,36,1141
1142,3,46,29,1142
1143,4,46,35,1143
1144,3,46,36,1144
1145,1,46,34,1145
1146,2,46,29,1146
1147,2,46,53,1147
1148,3,46,35,1148
1149,1,46,24,1149
1150,2,46,47,1150
1151,3,46,32,1151
1152,2,46,22,1152
1153,3,46,51,1153
1154,3,46,38,1154
1155,3,46,31,1155
1156,2,46,27,1156
1157,3,47,35,1157
1158,1,47,47,1158
1159,1,47,20,1159
1160,2,47,44,1160
1161,1,47,37,1161
1162,3,47,37,1162
1163,3,47,18,1163
1164,2,47,32,1164
1165,3,47,38,1165
1166,3,47,33,1166
1167,2,47,37,1167
1168,2,47,44,1168
1169,3,47,35,1169
1170,2,47,35,1170
1171,1,47,48,1171
1172,3,47,39,1172
1173,3,47,37,1173
1174,3,47,40,1174
1175,3,47,46,1175
1176,1,47,33,1176
1177,2,47,32,1177
1178,2,47,44,1178
1179,3,47,31,1179
1180,2,47,35,1180
1181,2,47,34,1181
1182,3,47,48,1182
1183,3,47,38,1183
1184,3,47,46,1184
1185,3,47,38,1185
1186,2,47,47,1186
1187,2,47,33,1187
1188,2,47,40,1188
1189,1,47,37,1189
1190,3,47,43,1190
1191,3,47,35,1191
1192,2,47,33,1192
1193,2,47,36,1193
1194,2,47,44,1194
1195,3,47,38,1195
1196,3,47,37,1196
1197,2,47,46,1197
1198,3,47,42,1198
1199,3,47,40,1199
1200,2,47,41,1200
1201,3,47,43,1201
1202,3,47,33,1202
1203,1,47,37,1203
1204,3,47,40,1204
1205,2,47,43,1205
1206,2,47,48,1206
1207,3,47,43,1207
1208,2,47,37,1208
1209,3,47,31,1209
1210,2,47,39,1210
1211,2,47,41,1211
1212,3,47,45,1212
1213,2,47,37,1213
1214,2,47,33,1214
1215,1,47,33,1215
1216,2,47,38,1216
1217,2,47,43,1217
1218,1,48,27,1218
1219,3,48,45,1219
1220,1,48,48,1220
1221,1,48,60,1221
1222,2,48,26,1222
1223,4,48,40,1223
1224,3,48,52,1224
1225,3,48,37,1225
1226,2,48,59,1226
1227,2,48,42,1227
1228,3,48,45,1228
1229,2,48,39,1229
1230,3,48,51,1230
1231,3,48,36,1231
1232,2,48,39,1232
1233,2,48,39,1233
1234,2,48,44,1234
1235,3,48,25,1235
1236,3,48,34,1236
1237,2,48,39,1237
1238,3,48,42,1238
1239,3,48,32,1239
1240,4,48,40,1240
1241,3,48,35,1241
1242,2,48,38,1242
1243,3,48,41,1243
1244,2,48,26,1244
1245,3,48,44,1245
1246,2,48,47,1246
1247,2,48,34,1247
1248,3,48,46,1248
1249,2,48,30,1249
1250,3,48,39,1250
1251,3,48,41,1251
1252,1,48,52,1252
1253,3,48,36,1253
1254,1,48,41,1254
1255,3,48,38,1255
1256,2,48,50,1256
1257,2,48,32,1257
1258,1,48,49,1258
1259,2,48,37,1259
1260,2,48,25,1260
1261,3,48,56,1261
1262,3,48,42,1262
1263,1,48,36,1263
1264,2,48,55,1264
1265,3,48,37,1265
1266,2,48,45,1266
1267,4,48,39,1267
1268,3,48,31,1268
1269,4,48,38,1269
1270,3,48,35,1270
1271,2,48,49,1271
1272,3,48,37,1272
1273,2,48,38,1273
1274,3,48,54,1274
1275,2,48,33,1275
1276,1,48,61,1276
1277,2,48,39,1277
1278,3,48,38,1278
1279,1,48,39,1279
1280,1,48,58,1280
1281,3,48,44,1281
1282,3,48,38,1282
1283,2,49,21,1283
1284,2,49,34,1284
1285,3,49,43,1285
1286,2,49,40,1286
1287,2,49,61,1287
1288,3,49,38,1288
1289,1,49,42,1289
1290,3,49,46,1290
1291,3,49,41,1291
1292,3,49,43,1292
1293,3,49,39,1293
1294,2,49,55,1294
1295,3,49,51,1295
1296,3,49,42,1296
1297,2,49,23,1297
1298,2,49,56,1298
1299,1,49,42,1299
1300,3,49,45,1300
1301,2,49,39,1301
1302,3,49,41,1302
1303,4,49,42,1303
1304,2,49,42,1304
1305,2,49,24,1305
1306,1,49,42,1306
1307,2,49,49,1307
1308,1,49,65,1308
1309,2,49,38,1309
1310,2,49,40,1310
1311,2,49,24,1311
1312,2,49,35,1312
1313,3,49,49,1313
1314,2,49,30,1314
1315,3,49,44,1315
1316,2,49,41,1316
1317,2,49,37,1317
1318,3,49,41,1318
1319,2,49,59,1319
1320,3,49,43,1320
1321,1,49,42,1321
1322,2,49,62,1322
1323,3,49,43,1323
1324,2,49,29,1324
1325,2,49,39,1325
1326,2,49,57,1326
1327,2,49,45,1327
1328,3,49,38,1328
1329,2,49,37,1329
1330,2,49,63,1330
