element_type,now_cost,total_points,id
3,59,101,164
3,58,0,165
3,44,1,166
3,42,28,167
3,47,78,168
3,50,26,169
3,49,34,170
3,60,0,171
3,74,182,172
3,50,0,173
3,43,0,174
4,54,92,175
4,64,56,177
3,64,153,393
3,55,0,469
4,54,0,470
2,54,158,484
2,54,36,506
3,59,88,507
3,54,64,508
2,50,112,526
3,45,0,528
2,40,0,532
2,42,60,9
1,42,15,178
2,42,50,180
2,44,44,181
3,46,71,182
3,42,17,183
3,60,94,184
3,50,11,185
3,42,24,186
3,43,7,187
3,44,0,188
4,45,28,189
2,42,38,455
3,49,72,456
2,42,42,460
1,42,8,474
3,55,75,478
4,63,134,480
2,47,19,487
1,44,86,509
2,48,52,510
2,45,14,511
3,44,37,512
4,53,47,513
3,43,4,521
2,40,0,541
3,56,75,575
2,45,8,593
3,47,1,594
3,40,2,610
3,45,0,621
3,41,15,146
1,39,9,190
1,44,99,191
2,42,76,192
2,44,49,193
2,44,9,194
2,44,67,195
2,40,0,196
2,43,50,197
2,43,60,198
3,50,76,199
3,46,10,200
3,44,54,201
3,45,63,202
3,50,0,203
3,45,6,204
3,43,2,205
3,48,69,206
3,47,4,207
3,42,39,208
4,43,2,209
4,51,34,210
4,58,69,211
4,48,29,212
2,44,49,461
3,45,19,471
3,59,38,514
2,39,24,522
1,40,0,533
4,50,45,585
1,40,2,598
2,40,1,601
3,45,2,606
3,45,2,607
1,50,120,213
1,43,0,214
2,45,76,215
2,41,3,216
2,42,12,217
2,39,0,218
2,50,118,219
2,54,92,220
2,53,146,221
2,48,77,222
3,51,63,224
3,54,84,225
3,43,15,226
3,49,89,227
3,47,9,228
3,44,0,229
3,43,20,230
3,47,3,231
3,46,1,232
3,66,137,233
4,90,174,234
4,51,25,235
4,57,58,236
1,43,0,457
3,50,28,492
2,50,0,501
2,48,9,515
3,43,58,527
2,40,0,558
3,55,43,571
3,60,63,591
1,47,0,237
1,49,0,238
2,49,63,239
2,41,4,240
2,48,55,242
2,49,83,243
2,44,0,244
2,58,185,245
2,67,208,246
2,67,213,247
3,64,2,248
3,53,76,249
3,69,23,250
3,103,231,251
3,55,108,252
3,132,259,253
3,56,101,254
3,55,65,255
3,71,67,256
4,93,160,257
3,68,88,462
1,59,176,468
4,56,34,472
4,50,32,543
3,50,1,557
3,45,0,597
3,82,102,223
1,57,169,260
1,48,0,261
2,52,83,262
2,52,58,263
2,60,70,264
2,64,150,265
2,48,46,266
2,61,59,267
2,63,177,268
2,53,29,269
3,117,234,270
3,85,143,271
3,53,79,272
3,96,59,273
3,54,113,274
3,93,156,275
3,78,154,276
3,45,25,277
3,47,0,278
3,47,44,279
4,120,201,280
4,99,79,281
1,45,0,529
2,40,0,604
1,57,120,282
1,49,0,283
2,56,56,284
2,51,43,285
2,51,91,286
2,49,2,287
2,64,17,288
2,46,14,289
2,50,0,290
2,50,16,291
2,49,85,292
2,57,73,293
2,53,27,294
3,100,47,295
3,50,59,296
3,61,70,297
3,48,26,298
3,50,62,299
3,67,78,300
3,72,122,301
3,86,179,302
3,42,38,303
3,53,40,304
4,73,128,305
4,107,115,306
3,45,27,481
1,48,0,520
3,50,2,568
3,45,1,602
3,45,2,603
4,45,4,608
1,43,0,307
1,44,0,308
1,50,131,309
2,45,63,310
2,45,42,311
2,47,95,312
2,44,67,313
2,44,35,314
2,43,53,315
2,40,0,316
3,58,110,317
3,53,39,318
3,48,56,319
3,51,55,320
3,47,16,321
3,50,0,322
3,43,69,323
3,47,38,324
4,60,0,325
4,61,141,326
4,47,30,327
3,47,50,458
2,45,93,482
4,56,24,488
4,59,148,493
2,44,47,516
2,40,0,530
3,45,26,531
1,40,0,553
3,45,0,577
3,60,28,587
2,41,1,588
3,45,0,622
2,40,0,623
4,54,90,258
1,43,73,328
1,42,2,329
2,48,56,330
2,41,44,331
2,42,52,332
2,42,47,333
2,40,0,334
2,40,49,335
2,42,29,336
3,46,9,337
3,51,94,338
3,42,55,339
3,44,90,340
3,55,0,341
3,44,11,342
3,55,137,343
3,47,50,344
3,51,75,345
3,60,28,346
4,47,66,347
4,55,46,348
4,56,23,349
4,55,0,350
1,43,47,452
2,46,50,463
2,42,36,479
4,50,13,550
2,41,54,556
3,45,1,562
2,40,1,565
3,45,4,570
4,45,4,574
2,40,0,595
1,54,145,351
1,47,5,352
2,60,107,353
2,58,86,354
2,59,67,355
2,56,66,356
2,60,118,357
2,42,28,358
2,58,78,359
2,57,24,360
3,47,56,361
3,49,14,362
3,59,67,363
3,92,161,364
3,88,94,365
3,49,24,366
3,86,159,367
3,55,53,368
3,49,76,369
3,69,131,370
4,51,41,371
4,126,160,372
3,48,4,497
3,43,1,523
1,45,13,536
1,40,0,538
3,45,12,540
2,50,35,549
2,40,0,561
4,45,0,578
3,45,0,612
4,45,3,614
1,42,0,373
1,43,0,374
2,42,0,375
2,45,93,376
2,42,1,377
2,48,93,378
2,43,3,379
2,44,36,380
2,49,50,381
2,42,57,382
2,42,66,383
2,42,0,384
2,42,2,385
2,43,26,386
3,44,10,387
3,50,25,388
3,48,79,389
3,58,124,390
3,59,122,391
3,49,87,392
3,57,133,394
4,59,83,395
4,58,116,396
4,50,1,397
4,44,0,398
1,46,129,445
3,46,37,446
3,44,17,517
4,45,42,524
2,40,1,544
4,50,0,554
1,42,0,399
1,47,143,400
2,44,0,401
2,50,34,402
2,42,48,403
2,45,0,404
2,43,56,405
2,44,92,406
2,42,0,407
2,45,38,408
2,42,87,409
3,42,49,410
3,48,99,411
3,42,43,413
3,64,31,414
3,68,118,415
3,45,0,416
4,67,117,417
4,54,12,418
4,61,86,419
4,50,0,420
3,48,17,447
3,67,27,453
2,42,61,464
3,68,155,465
3,50,85,489
4,62,33,502
3,43,9,518
3,45,25,539
3,45,0,547
3,45,0,548
4,45,1,560
3,49,14,569
2,40,2,605
3,40,0,611
1,42,7,421
1,39,1,422
2,47,120,423
2,50,0,424
2,53,144,425
2,42,47,426
2,41,89,427
2,40,0,428
2,40,0,429
2,45,94,430
2,43,24,431
3,63,139,432
3,49,104,433
3,52,48,434
3,46,52,435
3,43,0,436
4,69,181,437
4,46,10,438
3,43,37,448
4,45,0,449
1,45,118,454
3,51,119,475
2,43,103,483
3,51,44,500
3,43,48,519
2,40,0,525
3,45,0,555
2,40,1,567
2,40,0,596
2,38,18,625
2,38,18,626
2,38,18,627
2,38,18,628
2,38,18,629
2,38,18,630
2,38,18,631
2,38,18,632
2,38,18,633
2,38,18,634
2,38,18,635
2,38,18,636
2,38,18,637
2,38,18,638
2,38,18,639
2,38,18,640
2,38,18,641
2,38,18,642
2,38,18,643
2,38,18,644
2,38,18,645
2,38,18,646
2,38,18,647
2,38,18,648
2,38,18,649
2,38,18,650
2,38,18,651
2,38,18,652
2,38,18,653
2,38,18,654
2,38,18,655
2,38,18,656
2,38,18,657
2,38,18,658
2,38,18,659
2,38,18,660
2,38,18,661
2,38,18,662
2,38,18,663
2,38,18,664
2,38,18,665
2,38,18,666
2,38,18,667
2,38,18,668
2,38,18,669
2,38,18,670
2,38,18,671
2,38,18,672
2,38,18,673
2,38,18,674
2,38,18,675
2,38,18,676
2,38,18,677
2,38,18,678
2,38,18,679
2,38,18,680
2,38,18,681
2,38,18,682
2,38,18,683
2,38,18,684
2,38,18,685
2,38,18,686
2,38,18,687
2,38,18,688
2,38,18,689
2,38,18,690
2,39,28,691
2,39,20,692
1,39,20,693
2,39,16,694
2,39,20,695
2,39,24,696
1,39,16,697
2,39,20,698
2,39,20,699
2,39,20,700
1,39,19,701
2,39,20,702
2,39,22,703
2,39,20,704
1,39,20,705
1,39,20,706
2,39,25,707
2,39,20,708
2,39,18,709
2,39,20,710
2,39,17,711
2,39,20,712
2,39,22,713
2,39,20,714
2,39,20,715
2,39,19,716
2,39,20,717
1,39,20,718
2,39,22,719
2,39,16,720
1,39,20,721
1,39,20,722
2,39,19,723
2,39,23,724
2,39,20,725
1,39,26,726
1,39,18,727
1,39,20,728
2,39,20,729
2,39,20,730
1,39,20,731
2,39,20,732
2,39,20,733
1,39,16,734
2,39,20,735
1,39,20,736
1,39,20,737
1,39,18,738
2,39,20,739
2,39,20,740
1,39,20,741
1,39,14,742
2,39,20,743
2,39,21,744
1,39,19,745
1,39,19,746
1,39,17,747
1,39,20,748
2,40,23,749
2,40,23,750
2,40,23,751
2,40,23,752
2,40,25,753
2,40,23,754
2,40,23,755
2,40,23,756
1,40,23,757
1,40,23,758
1,40,23,759
2,40,23,760
2,40,23,761
2,40,23,762
1,40,23,763
2,40,23,764
2,40,23,765
2,40,23,766
2,40,23,767
2,40,23,768
2,40,23,769
2,40,23,770
2,40,23,771
2,40,23,772
2,40,23,773
2,40,23,774
1,40,19,775
2,41,25,776
2,41,25,777
1,41,23,778
2,41,25,779
1,41,26,780
2,41,25,781
2,41,27,782
2,41,19,783
2,41,27,784
2,41,31,785
2,41,18,786
2,41,25,787
2,41,25,788
2,41,25,789
2,41,25,790
2,41,39,791
2,41,25,792
2,41,24,793
3,41,18,794
2,41,26,795
2,41,24,796
3,41,19,797
2,41,23,798
2,41,27,799
2,41,23,800
2,41,26,801
3,41,26,802
2,41,26,803
2,41,22,804
2,41,25,805
2,41,28,806
2,41,26,807
2,41,27,808
2,41,26,809
2,41,25,810
2,41,25,811
2,41,28,812
2,41,24,813
3,41,24,814
2,41,25,815
2,41,25,816
2,41,27,817
2,41,24,818
2,41,20,819
2,41,25,820
1,41,24,821
2,41,25,822
2,41,22,823
1,41,25,824
2,41,26,825
2,41,30,826
2,41,14,827
2,41,24,828
2,41,23,829
2,41,20,830
2,41,22,831
1,42,30,832
3,42,27,833
2,42,28,834
2,42,28,835
2,42,27,836
2,42,28,837
3,42,36,838
1,42,33,839
3,42,31,840
2,42,28,841
1,42,32,842
1,42,28,843
1,42,29,844
2,42,35,845
2,42,36,846
1,42,32,847
2,42,28,848
1,42,29,849
1,42,22,850
2,42,28,851
3,42,34,852
3,42,28,853
2,42,30,854
2,42,26,855
2,43,31,856
1,43,32,857
1,43,39,858
2,43,38,859
2,43,31,860
2,43,31,861
2,43,31,862
3,43,28,863
3,43,30,864
2,43,31,865
1,43,31,866
3,43,33,867
2,43,21,868
3,43,31,869
1,43,31,870
2,43,17,871
2,43,19,872
2,43,31,873
4,43,43,874
2,43,31,875
1,43,31,876
2,44,13,877
1,44,33,878
2,44,33,879
1,44,24,880
3,44,34,881
3,44,20,882
2,44,30,883
2,44,33,884
2,44,44,885
2,44,45,886
4,44,33,887
2,44,35,888
2,44,22,889
4,44,33,890
1,44,33,891
2,44,42,892
2,44,32,893
2,44,42,894
3,44,34,895
3,44,21,896
3,44,26,897
3,46,39,898
3,46,43,899
3,46,43,900
4,46,28,901
4,46,30,902
3,46,60,903
3,46,30,904
3,46,40,905
3,46,35,906
2,46,36,907
3,46,16,908
2,46,41,909
3,46,46,910
4,46,44,911
3,46,34,912
3,46,34,913
2,46,38,914
3,46,34,915
2,46,33,916
3,46,35,917
1,46,41,918
3,46,33,919
2,46,51,920
3,46,39,921
3,46,25,922
1,46,41,923
3,46,32,924
3,46,64,925
3,46,33,926
4,46,39,927
3,46,39,928
3,46,41,929
3,46,38,930
2,46,34,931
3,46,53,932
3,46,47,933
3,46,42,934
3,46,47,935
3,46,40,936
4,46,46,937
3,46,40,938
3,46,33,939
3,46,37,940
3,46,38,941
3,46,36,942
3,46,30,943
1,47,35,944
2,47,40,945
2,47,44,946
2,47,46,947
3,47,41,948
3,47,37,949
3,47,36,950
2,47,44,951
4,47,59,952
3,47,40,953
3,47,42,954
1,47,55,955
3,47,41,956
3,47,42,957
2,47,40,958
2,47,39,959
1,47,43,960
3,47,38,961
1,47,40,962
2,47,40,963
3,47,38,964
3,47,40,965
3,47,36,966
3,47,65,967
3,47,41,968
1,47,48,969
1,47,40,970
2,47,42,971
3,47,44,972
3,47,40,973
4,47,33,974
3,47,41,975
2,47,38,976
3,47,50,977
3,47,41,978
3,47,44,979
2,48,38,980
3,48,42,981
2,48,33,982
3,48,45,983
2,48,46,984
3,48,47,985
2,48,43,986
4,48,34,987
1,48,42,988
1,48,50,989
2,48,37,990
3,48,43,991
2,48,43,992
2,48,36,993
2,48,43,994
2,48,52,995
2,48,20,996
2,48,53,997
2,48,37,998
2,48,44,999
1,48,43,1000
3,48,42,1001
2,48,46,1002
1,48,25,1003
2,48,38,1004
3,48,57,1005
2,48,33,1006
1,48,42,1007
2,48,44,1008
2,48,42,1009
2,48,46,1010
2,48,43,1011
4,48,56,1012
3,48,54,1013
2,48,46,1014
1,48,43,1015
1,48,44,1016
2,48,40,1017
2,48,46,1018
3,48,41,1019
3,48,43,1020
3,48,43,1021
4,48,45,1022
2,49,63,1023
3,49,32,1024
3,49,46,1025
2,49,33,1026
3,49,45,1027
3,49,39,1028
2,49,48,1029
2,49,52,1030
2,49,40,1031
2,49,38,1032
2,49,46,1033
2,49,46,1034
2,49,56,1035
3,49,58,1036
2,49,45,1037
4,49,49,1038
3,49,52,1039
4,49,31,1040
1,49,36,1041
4,49,49,1042
3,49,44,1043
2,49,63,1044
3,49,46,1045
3,49,44,1046
2,49,69,1047
4,49,54,1048
3,49,44,1049
1,49,46,1050
2,49,46,1051
4,49,51,1052
3,49,46,1053
3,49,46,1054
4,49,53,1055
2,49,44,1056
1,49,44,1057
3,49,43,1058
3,49,46,1059
3,49,42,1060
2,49,46,1061
3,50,51,1062
3,50,52,1063
4,50,48,1064
2,50,43,1065
3,50,48,1066
3,50,48,1067
2,50,52,1068
3,50,50,1069
3,50,47,1070
2,50,39,1071
3,50,48,1072
3,50,56,1073
3,50,48,1074
4,50,49,1075
2,50,47,1076
3,50,48,1077
3,50,53,1078
4,50,52,1079
3,50,43,1080
2,50,50,1081
4,50,54,1082
2,50,52,1083
3,50,48,1084
4,50,63,1085
3,50,45,1086
3,50,48,1087
4,50,40,1088
2,50,53,1089
3,50,53,1090
4,50,57,1091
3,51,39,1092
4,51,50,1093
3,51,51,1094
4,51,49,1095
3,51,55,1096
3,51,45,1097
3,51,56,1098
2,51,64,1099
3,51,51,1100
4,51,43,1101
2,51,53,1102
3,51,68,1103
4,51,56,1104
2,51,57,1105
3,51,39,1106
3,51,59,1107
3,51,58,1108
3,51,45,1109
2,51,49,1110
3,51,47,1111
4,51,70,1112
2,51,43,1113
2,51,58,1114
2,51,31,1115
2,51,46,1116
4,51,46,1117
3,51,52,1118
3,51,59,1119
4,51,53,1120
2,51,59,1121
4,51,40,1122
3,51,28,1123
4,51,64,1124
2,51,46,1125
2,51,58,1126
3,51,58,1127
3,51,46,1128
3,51,50,1129
3,51,39,1130
4,51,54,1131
3,51,56,1132
2,51,44,1133
4,51,54,1134
3,51,50,1135
3,51,56,1136
2,51,56,1137
2,51,55,1138
4,51,55,1139
3,51,66,1140
2,51,53,1141
4,51,57,1142
3,51,42,1143
3,51,48,1144
3,51,51,1145
2,51,56,1146
3,51,57,1147
3,52,51,1148
2,52,67,1149
2,52,52,1150
3,52,67,1151
2,52,52,1152
2,52,45,1153
2,52,35,1154
3,52,59,1155
2,52,41,1156
3,52,71,1157
2,52,50,1158
2,52,63,1159
4,52,56,1160
2,52,44,1161
3,52,49,1162
3,52,33,1163
3,52,46,1164
3,52,59,1165
3,52,40,1166
3,52,59,1167
3,52,64,1168
3,52,44,1169
2,52,64,1170
2,52,46,1171
2,52,49,1172
3,52,50,1173
3,52,58,1174
4,52,58,1175
3,52,37,1176
4,52,55,1177
2,52,62,1178
2,52,40,1179
3,52,47,1180
3,52,57,1181
2,52,37,1182
2,52,36,1183
4,52,44,1184
3,52,54,1185
2,52,43,1186
3,52,56,1187
2,52,67,1188
3,52,76,1189
2,52,54,1190
3,52,50,1191
4,52,49,1192
4,52,46,1193
3,52,57,1194
2,52,62,1195
2,52,57,1196
2,52,52,1197
2,52,70,1198
3,52,60,1199
2,52,50,1200
3,52,67,1201
3,52,73,1202
2,52,52,1203
2,52,65,1204
2,52,48,1205
2,52,39,1206
4,53,60,1207
4,53,47,1208
3,53,54,1209
2,53,57,1210
3,53,60,1211
3,53,50,1212
2,53,57,1213
3,53,66,1214
2,53,57,1215
2,53,57,1216
4,53,52,1217
2,53,81,1218
3,53,61,1219
2,53,56,1220
3,53,56,1221
2,53,61,1222
3,53,63,1223
2,53,83,1224
2,53,60,1225
4,53,53,1226
3,53,60,1227
3,53,48,1228
3,53,50,1229
3,53,51,1230
4,53,56,1231
2,53,54,1232
3,53,61,1233
2,53,35,1234
3,53,59,1235
2,53,55,1236
3,53,55,1237
4,53,53,1238
3,53,57,1239
2,53,65,1240
4,53,49,1241
2,53,55,1242
3,53,66,1243
3,53,48,1244
2,53,55,1245
2,53,41,1246
3,53,58,1247
3,53,53,1248
2,53,55,1249
3,53,54,1250
2,53,46,1251
4,53,48,1252
2,53,41,1253
4,53,77,1254
2,53,58,1255
3,53,52,1256
2,53,56,1257
3,53,48,1258
3,53,54,1259
3,53,51,1260
2,53,55,1261
4,53,56,1262
1,54,51,1263
2,54,41,1264
3,54,72,1265
1,54,38,1266
4,54,59,1267
3,54,70,1268
4,54,59,1269
3,54,60,1270
4,54,74,1271
3,54,55,1272
4,54,46,1273
4,54,75,1274
3,54,61,1275
3,54,70,1276
2,54,60,1277
4,54,68,1278
3,54,58,1279
3,54,59,1280
3,54,59,1281
2,54,70,1282
3,54,72,1283
2,54,55,1284
2,54,81,1285
3,54,36,1286
2,54,75,1287
2,54,65,1288
2,54,62,1289
4,54,75,1290
4,54,73,1291
2,54,69,1292
3,54,47,1293
1,54,59,1294
3,54,51,1295
2,54,53,1296
2,54,63,1297
1,54,59,1298
2,54,61,1299
4,54,69,1300
2,54,58,1301
2,54,53,1302
2,54,45,1303
3,54,61,1304
4,54,47,1305
3,54,55,1306
2,54,59,1307
2,54,45,1308
2,54,53,1309
2,54,60,1310
1,54,54,1311
1,54,57,1312
1,54,73,1313
1,55,65,1314
3,55,55,1315
3,55,85,1316
1,55,61,1317
3,55,61,1318
3,55,58,1319
3,55,61,1320
3,55,45,1321
2,55,43,1322
3,55,61,1323
1,55,67,1324
3,55,79,1325
3,55,61,1326
4,55,77,1327
3,55,61,1328
3,55,68,1329
3,55,61,1330
3,55,61,1331
3,55,36,1332
3,55,72,1333
3,55,61,1334
3,55,61,1335
1,55,65,1336
3,55,61,1337
3,55,59,1338
3,55,63,1339
2,55,61,1340
3,55,61,1341
3,55,61,1342
3,55,34,1343
3,55,61,1344
3,55,39,1345
3,55,70,1346
3,55,74,1347
1,55,63,1348
1,55,58,1349
3,55,60,1350
3,55,61,1351
3,55,61,1352
3,55,69,1353
3,55,61,1354
3,55,40,1355
4,55,61,1356
2,55,61,1357
2,55,77,1358
3,55,61,1359
1,55,61,1360
4,55,67,1361
4,55,57,1362
3,55,50,1363
2,55,61,1364
3,55,61,1365
3,55,61,1366
4,55,57,1367
4,56,49,1368
4,56,72,1369
4,56,63,1370
3,56,59,1371
3,56,65,1372
3,56,70,1373
4,56,62,1374
4,56,69,1375
3,56,64,1376
4,56,63,1377
4,56,55,1378
4,56,59,1379
4,56,58,1380
2,56,77,1381
4,56,69,1382
4,56,65,1383
4,56,66,1384
4,56,59,1385
2,56,68,1386
3,56,70,1387
4,56,72,1388
3,56,77,1389
4,56,61,1390
3,56,60,1391
4,56,42,1392
3,56,60,1393
4,56,54,1394
4,56,63,1395
4,56,63,1396
4,56,64,1397
4,56,65,1398
4,56,60,1399
3,56,63,1400
4,56,65,1401
4,56,74,1402
3,56,64,1403
4,56,57,1404
4,56,59,1405
4,56,67,1406
4,56,69,1407
2,56,62,1408
2,56,66,1409
4,56,65,1410
3,56,57,1411
4,56,57,1412
3,56,63,1413
4,56,79,1414
3,56,66,1415
4,56,79,1416
2,56,57,1417
2,56,45,1418
2,56,56,1419
3,56,68,1420
3,56,72,1421
4,56,53,1422
2,56,56,1423
4,56,63,1424
2,56,60,1425
2,57,57,1426
4,57,68,1427
1,57,53,1428
1,57,77,1429
2,57,35,1430
3,57,65,1431
3,57,58,1432
3,57,69,1433
4,57,81,1434
4,57,59,1435
3,57,85,1436
4,57,73,1437
4,57,56,1438
3,57,88,1439
2,57,67,1440
1,57,67,1441
3,57,97,1442
1,57,73,1443
3,57,91,1444
2,57,82,1445
4,57,59,1446
1,57,65,1447
2,57,88,1448
1,57,70,1449
1,57,65,1450
4,57,69,1451
1,57,89,1452
3,57,76,1453
1,57,67,1454
2,57,57,1455
4,57,57,1456
4,57,71,1457
1,57,67,1458
3,57,75,1459
3,57,50,1460
3,57,71,1461
1,57,70,1462
3,57,63,1463
3,57,73,1464
3,57,59,1465
3,57,67,1466
4,57,58,1467
1,57,69,1468
4,57,70,1469
2,57,59,1470
3,57,62,1471
2,57,62,1472
3,57,63,1473
4,57,64,1474
4,57,66,1475
2,57,71,1476
3,57,59,1477
3,57,65,1478
3,57,64,1479
4,57,70,1480
4,57,73,1481
2,57,63,1482
4,57,73,1483
4,57,72,1484
4,57,71,1485
2,58,64,1486
3,58,93,1487
2,58,69,1488
3,58,53,1489
4,58,94,1490
3,58,69,1491
3,58,60,1492
2,58,57,1493
2,58,69,1494
2,58,64,1495
2,58,35,1496
4,58,42,1497
3,58,44,1498
2,58,69,1499
3,58,69,1500
2,58,76,1501
4,58,89,1502
4,58,75,1503
2,58,84,1504
2,58,79,1505
2,58,69,1506
2,58,80,1507
2,58,76,1508
2,58,79,1509
3,58,74,1510
2,58,69,1511
2,58,60,1512
4,58,96,1513
4,58,98,1514
2,58,54,1515
4,58,86,1516
2,58,88,1517
3,58,69,1518
2,58,94,1519
2,58,50,1520
3,58,79,1521
2,58,34,1522
2,58,82,1523
2,58,57,1524
3,58,78,1525
3,58,79,1526
3,58,94,1527
3,58,69,1528
2,58,78,1529
4,58,69,1530
3,58,84,1531
3,58,94,1532
2,58,61,1533
2,58,73,1534
2,58,83,1535
2,58,72,1536
4,58,58,1537
3,58,76,1538
2,58,53,1539
2,58,83,1540
3,58,93,1541
4,58,89,1542
2,58,78,1543
4,58,73,1544
2,58,90,1545
3,59,85,1546
4,59,68,1547
2,59,70,1548
3,59,66,1549
3,59,42,1550
3,59,90,1551
4,59,75,1552
2,59,70,1553
2,59,47,1554
1,59,68,1555
3,59,86,1556
3,59,81,1557
4,59,87,1558
3,59,94,1559
3,59,70,1560
4,59,93,1561
3,59,85,1562
3,59,75,1563
3,59,75,1564
2,59,65,1565
1,59,89,1566
3,59,75,1567
3,59,68,1568
1,59,66,1569
3,59,80,1570
4,59,54,1571
1,59,64,1572
2,59,82,1573
3,59,73,1574
1,59,83,1575
3,59,73,1576
3,59,80,1577
3,59,54,1578
3,59,60,1579
3,59,74,1580
3,59,98,1581
3,59,76,1582
3,59,43,1583
2,59,73,1584
3,59,49,1585
4,59,68,1586
3,59,87,1587
2,59,59,1588
2,59,70,1589
2,59,73,1590
3,59,83,1591
2,59,65,1592
1,59,76,1593
2,59,67,1594
3,59,49,1595
2,59,72,1596
3,59,78,1597
1,59,62,1598
2,59,77,1599
3,59,83,1600
3,59,55,1601
3,59,87,1602
3,59,66,1603
3,60,56,1604
4,60,70,1605
3,60,79,1606
4,60,74,1607
2,60,71,1608
3,60,82,1609
4,60,68,1610
2,60,72,1611
2,60,72,1612
2,60,81,1613
3,60,70,1614
3,60,86,1615
3,60,56,1616
3,60,77,1617
3,60,74,1618
3,60,67,1619
2,60,80,1620
3,60,85,1621
2,60,79,1622
2,60,79,1623
3,60,78,1624
3,60,74,1625
3,60,96,1626
4,60,79,1627
3,60,87,1628
3,60,74,1629
3,60,71,1630
3,60,70,1631
2,60,64,1632
2,60,72,1633
4,60,88,1634
4,60,86,1635
3,60,60,1636
2,60,57,1637
2,60,67,1638
3,60,62,1639
2,60,74,1640
3,60,72,1641
2,60,74,1642
3,60,73,1643
3,60,79,1644
2,60,74,1645
3,60,74,1646
3,60,71,1647
2,60,76,1648
3,60,83,1649
3,60,76,1650
2,60,74,1651
4,60,64,1652
2,60,58,1653
2,60,72,1654
3,60,74,1655
3,60,61,1656
3,60,55,1657
3,60,63,1658
3,60,58,1659
3,60,74,1660
2,60,68,1661
3,60,71,1662
4,61,75,1663
